şarkı,lemmatized_str
Kara Sevda,Özlem kalp beklemek yalnız beklemek beklemek Rüya gelmek yalnız gelmek gelmek gece gitmek kalp Özlem beklemek gelmek gelmek gelmek gitmek gelmek yalnız gece Özlem kalp gece Özlem yollamak gece Rüya gitmek gitmek gece gitmek yalnız gece Rüya Rüya gitmek gelmek kalp beklemek yollamak Rüya gitmek gitmek gözlemek gece gözlemek gözlemek gece gece yalnız aşk beklemek aşk gece gelmek hayat gelmek aşk Özlem gece kalp beklemek gitmek gece yollamak beklemek aşk Özlem beklemek yalnız gitmek kalp kalp gece yollamak yalnız Rüya yollamak yollamak gece hayat beklemek Rüya yollamak yollamak Rüya gözlemek kalp hayat beklemek beklemek gece Rüya Rüya hayat Rüya gece hayat kalp Özlem yollamak gitmek gece yalnız gelmek kalp gitmek beklemek gece Özlem yalnız aşk gitmek gitmek gece gözlemek hayat hayat yollamak gelmek Rüya gözlemek Özlem Rüya hayat aşk gece gece gitmek Özlem aşk Rüya yollamak hayat yalnız kalp beklemek Özlem Özlem aşk gözlemek hayat kalp beklemek gelmek aşk gelmek hayat gece yalnız kalp gece gitmek gelmek yalnız beklemek hayat gitmek hayat yollamak aşk yalnız hayat gözlemek Özlem gelmek yalnız aşk gelmek gözlemek gitmek aşk gözlemek yalnız gözlemek gece Rüya hayat gitmek aşk Rüya kalp gece gece gelmek gitmek aşk kalp yollamak hayat gözlemek yalnız gece beklemek Özlem gitmek Özlem hayat yollamak aşk yollamak Rüya Rüya Özlem gitmek aşk aşk gözlemek yollamak gitmek Özlem hayat hayat kalp gitmek Özlem Rüya Rüya aşk gece beklemek hayat Rüya beklemek Özlem kalp kalp beklemek yalnız Özlem gitmek Rüya beklemek gelmek beklemek gelmek beklemek gelmek gelmek gelmek gece beklemek gece Özlem beklemek yollamak hayat hayat Özlem aşk hayat Rüya beklemek gözlemek gözlemek Rüya beklemek gözlemek gece gitmek gelmek gelmek yollamak gitmek beklemek aşk gözlemek beklemek yalnız gelmek yollamak yalnız beklemek beklemek gitmek yollamak kalp kalp aşk yalnız yalnız yalnız gözlemek gelmek aşk gece aşk gitmek gelmek gelmek gözlemek beklemek gece Özlem hayat yollamak gelmek aşk
Sorma,gece Rüya aşk aşk beklemek beklemek yalnız kalp gelmek Rüya gözlemek Rüya hayat Rüya gelmek gelmek yollamak gözlemek yollamak beklemek gözlemek Özlem kalp gece aşk kalp Özlem aşk aşk kalp gelmek kalp Özlem gitmek hayat gözlemek aşk gece Rüya gece gece hayat Rüya beklemek yalnız Rüya gözlemek hayat aşk Rüya Rüya gitmek yalnız yalnız yollamak gece yalnız beklemek gelmek Özlem beklemek gitmek Rüya Özlem yollamak kalp Özlem kalp gelmek gitmek beklemek yalnız gitmek kalp yalnız gitmek yollamak yollamak Rüya gelmek hayat hayat hayat yollamak gözlemek beklemek aşk beklemek yalnız gelmek gitmek gelmek kalp hayat gece aşk gitmek gece gitmek gözlemek gözlemek gitmek beklemek gece gözlemek Rüya yollamak yollamak gitmek gitmek yalnız gece kalp yollamak aşk Özlem yollamak gözlemek gece Özlem gelmek gözlemek yalnız hayat gece hayat beklemek gelmek gitmek yollamak beklemek yalnız Rüya gözlemek kalp kalp gitmek Özlem gece aşk gözlemek Rüya yollamak gitmek beklemek beklemek aşk kalp aşk gitmek yalnız yalnız gözlemek beklemek beklemek gitmek Rüya yollamak Rüya hayat beklemek Rüya gözlemek gece gece gece beklemek gözlemek yalnız Rüya beklemek gitmek gözlemek kalp yollamak beklemek yollamak Rüya beklemek gelmek gece beklemek gözlemek hayat aşk hayat gözlemek hayat aşk gece beklemek gözlemek Özlem gece gelmek yalnız hayat beklemek aşk yollamak gelmek yollamak gitmek hayat aşk kalp gece beklemek aşk aşk beklemek aşk Özlem gözlemek gözlemek yalnız hayat aşk gelmek gitmek aşk hayat aşk gelmek hayat kalp Özlem gözlemek hayat gözlemek yalnız gitmek gelmek Rüya gece beklemek gelmek Rüya gelmek Özlem gözlemek beklemek aşk gelmek gözlemek yalnız hayat gitmek Özlem gözlemek beklemek kalp Rüya Rüya kalp gelmek Özlem gece gözlemek gitmek Rüya Özlem gelmek aşk Özlem gece gece gitmek beklemek beklemek kalp yalnız gitmek yollamak gelmek beklemek gitmek gece gitmek gece gelmek gece aşk aşk gözlemek kalp gözlemek gitmek kalp gözlemek aşk gözlemek aşk beklemek gelmek yalnız gelmek gece aşk Özlem gözlemek aşk beklemek Rüya hayat hayat gözlemek gece gitmek kalp yalnız gelmek gelmek aşk yalnız aşk yollamak gece aşk gelmek gelmek gelmek Rüya gitmek gelmek beklemek yalnız aşk hayat gitmek yalnız kalp Özlem kalp yalnız hayat hayat aşk gözlemek gelmek hayat aşk Özlem gece Rüya beklemek gece gitmek kalp gözlemek gitmek yalnız
Ben Bir Şarkıyım,gözlemek aşk hayat gözlemek kalp gece beklemek Rüya gitmek hayat yollamak gözlemek aşk gece Özlem Özlem Rüya hayat beklemek beklemek kalp aşk Özlem aşk gitmek gece hayat yalnız Rüya yalnız kalp Rüya kalp beklemek yalnız Rüya gece gözlemek aşk gözlemek Özlem gelmek aşk gelmek hayat gözlemek yalnız gece gözlemek Özlem gelmek kalp gitmek Rüya gece yollamak yalnız Rüya kalp kalp gözlemek gitmek Rüya Rüya aşk Özlem beklemek beklemek gözlemek gelmek gitmek gözlemek gelmek kalp yollamak yollamak kalp gitmek gözlemek beklemek Özlem yollamak yalnız gelmek kalp yollamak hayat aşk Rüya aşk beklemek yalnız yollamak gitmek gelmek Rüya kalp hayat gelmek gelmek gitmek Özlem gitmek Rüya Özlem Rüya hayat Özlem aşk hayat gözlemek aşk Rüya gelmek aşk gitmek hayat kalp gelmek yalnız gözlemek Rüya yalnız Rüya yollamak yollamak Özlem yalnız Özlem yollamak hayat gece beklemek beklemek yollamak Rüya gözlemek gece aşk kalp kalp yalnız beklemek gözlemek aşk kalp kalp gece yollamak gece hayat gelmek beklemek gece yollamak gözlemek kalp aşk Rüya hayat gelmek Rüya kalp gitmek gitmek Özlem gece yollamak gözlemek gözlemek yollamak gözlemek hayat kalp yalnız Rüya hayat gece yalnız beklemek hayat hayat gelmek gece yalnız yalnız gözlemek Özlem gözlemek gitmek kalp gece Rüya gelmek aşk yollamak Özlem aşk kalp gece aşk aşk yalnız hayat kalp yollamak kalp Rüya gözlemek beklemek gece gitmek gözlemek gözlemek yollamak kalp gelmek gözlemek Özlem beklemek hayat hayat kalp Özlem yollamak yollamak gözlemek Özlem yalnız gitmek yalnız aşk yollamak beklemek gece aşk aşk Özlem Özlem kalp hayat beklemek gece yalnız hayat beklemek aşk yalnız beklemek aşk yalnız yalnız gece gitmek hayat beklemek yollamak
Ben Bir Şarkıyım,gitmek gözlemek gelmek gitmek yalnız hayat gelmek hayat beklemek gece yalnız yalnız yalnız gece Özlem gitmek aşk gece gelmek beklemek yalnız gece Rüya yollamak gitmek aşk aşk Özlem yollamak gece aşk aşk Rüya aşk gitmek gece gelmek Rüya Özlem beklemek gelmek kalp Rüya gece Özlem aşk gözlemek gece gelmek gelmek gelmek gece yollamak beklemek yalnız gitmek gözlemek kalp hayat yollamak yalnız hayat yollamak gelmek gece Rüya Rüya kalp aşk gözlemek yalnız aşk beklemek yalnız aşk aşk yalnız yalnız kalp Özlem yalnız aşk kalp aşk yollamak beklemek gelmek Özlem beklemek gözlemek kalp gelmek hayat Rüya hayat gece Özlem gelmek yalnız gelmek aşk gece gitmek kalp hayat Rüya yollamak beklemek gözlemek gitmek aşk gece gözlemek gitmek gözlemek kalp yollamak yollamak hayat gece beklemek Özlem gözlemek aşk gözlemek gözlemek beklemek gece gelmek yalnız gece Özlem gözlemek gitmek yollamak beklemek Rüya gitmek beklemek yollamak hayat Özlem gitmek beklemek yalnız gitmek hayat kalp hayat Özlem gitmek gözlemek gitmek aşk Rüya yalnız gece gelmek hayat Özlem Özlem gözlemek Rüya yollamak gelmek gece gece hayat gece yollamak yalnız gitmek gözlemek kalp gelmek aşk yalnız aşk yalnız gelmek yalnız gitmek aşk aşk gözlemek gece yalnız yalnız gitmek yollamak yollamak hayat Rüya Rüya hayat gitmek hayat beklemek gelmek aşk aşk Rüya beklemek Özlem hayat gelmek aşk gözlemek aşk aşk hayat yalnız Rüya hayat beklemek hayat gece beklemek gözlemek gece hayat Rüya hayat gözlemek beklemek yalnız beklemek gözlemek gelmek beklemek yalnız hayat gelmek hayat Rüya aşk yalnız Özlem beklemek kalp kalp beklemek yollamak gitmek hayat gelmek kalp gitmek hayat beklemek gelmek Özlem yalnız yollamak gözlemek gelmek gitmek gelmek hayat Özlem Rüya gitmek gözlemek Rüya yalnız gece Özlem yollamak beklemek gelmek aşk yollamak yollamak gitmek gözlemek Rüya kalp gitmek hayat hayat beklemek aşk hayat aşk gelmek beklemek Özlem Özlem gelmek Özlem Rüya gelmek gece aşk gelmek gelmek gelmek gözlemek Özlem yalnız yollamak gelmek Özlem gözlemek Özlem Rüya hayat gözlemek hayat gelmek gelmek gözlemek gitmek yollamak beklemek gitmek gitmek kalp beklemek kalp beklemek gece beklemek gitmek gece yalnız yollamak beklemek hayat gözlemek gelmek aşk gözlemek Özlem kalp aşk yollamak gözlemek hayat yollamak gece gözlemek gece aşk hayat yalnız gelmek gözlemek hayat beklemek gitmek gece gece gitmek gitmek gitmek kalp gitmek kalp gece kalp gece Özlem aşk gözlemek yollamak yollamak gözlemek beklemek hayat aşk yalnız Özlem Rüya gitmek Özlem gitmek gözlemek gitmek yollamak aşk hayat gece Rüya beklemek kalp hayat kalp yollamak gelmek yalnız gitmek kalp gözlemek yollamak beklemek Rüya gelmek yalnız gece Rüya hayat hayat hayat yalnız aşk yalnız gitmek gece gece yollamak gitmek Özlem kalp hayat Rüya gitmek gitmek gözlemek yalnız beklemek hayat yalnız yollamak yalnız Rüya aşk aşk yollamak yalnız gece Rüya yollamak kalp gözlemek gözlemek beklemek aşk kalp beklemek aşk hayat gitmek gözlemek gözlemek yollamak beklemek kalp beklemek yollamak gelmek gözlemek Özlem kalp hayat gece beklemek aşk yollamak gece yollamak yollamak kalp hayat hayat Rüya hayat yollamak yalnız yalnız aşk gitmek gitmek yollamak beklemek gitmek Rüya gözlemek kalp gitmek hayat gelmek gece yollamak kalp aşk gözlemek gelmek
Aşk Gitti Bizden,beklemek aşk yalnız beklemek hayat yalnız yalnız yollamak aşk yollamak Özlem yalnız gelmek aşk Rüya gelmek kalp hayat aşk Özlem kalp hayat gelmek gözlemek kalp beklemek kalp beklemek gelmek yalnız Özlem gitmek yalnız yalnız hayat Rüya yalnız Özlem aşk gözlemek gece gitmek Özlem kalp gelmek gözlemek hayat aşk Özlem aşk gece aşk gece yollamak kalp gelmek yollamak beklemek gece beklemek gözlemek yalnız yollamak gece gece hayat yalnız hayat yollamak gece gitmek kalp yalnız yalnız gözlemek hayat Özlem kalp gözlemek Rüya yollamak gelmek aşk gitmek Özlem gözlemek hayat beklemek kalp gitmek beklemek Özlem Rüya Rüya beklemek kalp Rüya gözlemek yollamak gelmek kalp yalnız beklemek Özlem aşk kalp yalnız yalnız Rüya Özlem gece aşk yalnız hayat gelmek gelmek yalnız hayat hayat yalnız aşk beklemek Rüya hayat gitmek Özlem hayat gitmek gözlemek Rüya kalp beklemek kalp yollamak gece Özlem Özlem hayat gece gözlemek beklemek hayat gece Özlem gece gözlemek yollamak Rüya beklemek Rüya yalnız gece kalp yalnız Özlem gece yalnız Rüya Rüya kalp yollamak beklemek yalnız gelmek gece gözlemek yollamak beklemek gelmek gitmek gitmek gece gece Özlem Rüya aşk yollamak hayat gelmek Rüya aşk gelmek beklemek aşk yollamak kalp gelmek kalp gece gözlemek yollamak yalnız aşk yalnız aşk kalp Özlem Özlem gitmek kalp gece gitmek kalp hayat aşk beklemek aşk gelmek gözlemek gece gitmek Özlem aşk gelmek gece Özlem gece Rüya yollamak Özlem Rüya kalp yalnız yalnız yalnız Rüya gece beklemek beklemek Rüya Rüya yalnız gitmek beklemek aşk yollamak gitmek beklemek gitmek gitmek gelmek gitmek Özlem Rüya kalp aşk
Kara Sevda,gitmek gece Rüya gelmek yollamak gitmek yalnız Rüya hayat gözlemek hayat Rüya gece yalnız gitmek beklemek gözlemek Rüya gözlemek Özlem kalp hayat Özlem yollamak Özlem Rüya yalnız beklemek yollamak gelmek yollamak yollamak aşk gece hayat gözlemek yalnız gelmek yollamak yalnız beklemek gitmek Rüya hayat aşk yalnız gece yollamak gelmek aşk gitmek Özlem Özlem gece gözlemek Rüya Özlem yalnız gitmek yalnız gözlemek yollamak gece hayat aşk gece beklemek yalnız gözlemek hayat gece hayat gelmek yalnız beklemek aşk gitmek beklemek gece Rüya gitmek gitmek kalp Rüya hayat beklemek Özlem gitmek gelmek aşk Özlem beklemek gitmek gözlemek hayat hayat gitmek kalp yalnız beklemek beklemek gece gelmek gitmek hayat gelmek Özlem yalnız yalnız gözlemek gece Özlem kalp Özlem gelmek kalp Rüya gelmek aşk gözlemek hayat hayat gelmek Rüya kalp Özlem gözlemek yalnız Özlem aşk Özlem gece gece gece gece gelmek gelmek kalp Özlem gözlemek yollamak gece beklemek gitmek hayat beklemek aşk aşk gitmek gözlemek gece yalnız Özlem Özlem kalp gözlemek yollamak gitmek kalp yalnız beklemek Rüya gözlemek gece gözlemek kalp Özlem aşk yollamak kalp Rüya gözlemek gece yollamak Rüya yalnız gözlemek Rüya gelmek gözlemek yollamak kalp Özlem yollamak yollamak hayat aşk Rüya kalp yollamak yollamak gelmek kalp beklemek hayat gözlemek aşk hayat hayat gece beklemek aşk gece aşk gelmek hayat gitmek Rüya Rüya beklemek beklemek beklemek gözlemek Rüya hayat gitmek gitmek Rüya aşk kalp yollamak gelmek gelmek yalnız gece gece Özlem yalnız yollamak yollamak hayat gözlemek gözlemek gitmek yollamak yollamak kalp Rüya aşk beklemek aşk yalnız yalnız aşk Özlem beklemek yalnız kalp gece Özlem gitmek Özlem Rüya Özlem beklemek beklemek aşk Özlem beklemek yalnız gitmek gelmek gelmek gözlemek aşk gelmek hayat gelmek gelmek gece Rüya kalp gözlemek yalnız aşk gelmek Özlem Rüya beklemek hayat Özlem beklemek gözlemek gelmek hayat gelmek gözlemek beklemek hayat yollamak yalnız yalnız beklemek hayat Rüya gece Özlem kalp hayat aşk yalnız Rüya gitmek gitmek gece gece aşk kalp gözlemek yalnız kalp kalp gece gelmek beklemek beklemek gitmek Özlem kalp aşk yollamak hayat gelmek kalp aşk Özlem Rüya beklemek kalp beklemek kalp hayat hayat yalnız Rüya Rüya yalnız Rüya yollamak Özlem hayat Özlem gelmek yalnız gelmek gece gözlemek yollamak beklemek gece Özlem Özlem Özlem gitmek Özlem gelmek beklemek gelmek aşk
Gel Yanıma,Özlem yollamak gözlemek kalp Özlem gece gece Özlem Özlem gitmek yollamak gelmek yalnız gözlemek aşk gelmek aşk gece gece gözlemek kalp kalp Rüya gözlemek Rüya hayat yollamak aşk beklemek yalnız beklemek yollamak gözlemek gelmek yalnız aşk gece gece aşk aşk gece aşk gelmek gözlemek gelmek gözlemek gelmek kalp Rüya Özlem yollamak aşk gelmek kalp yalnız gitmek hayat aşk beklemek yollamak hayat yalnız beklemek beklemek yollamak aşk yollamak gece yalnız yalnız gece Rüya gitmek beklemek beklemek beklemek kalp aşk kalp gitmek kalp hayat yollamak yollamak gelmek Rüya kalp yollamak kalp Rüya gitmek gözlemek gelmek gece hayat gitmek yalnız hayat beklemek gelmek yalnız yollamak yollamak Özlem yollamak gözlemek gitmek beklemek gitmek gözlemek gözlemek Rüya gelmek gece gece gelmek gelmek gitmek gelmek gelmek Özlem yollamak gece gelmek gözlemek Özlem gözlemek Rüya yollamak gözlemek Özlem yalnız Rüya yalnız Özlem yollamak yollamak yollamak gelmek yalnız gelmek gitmek gitmek gece aşk gitmek Özlem hayat hayat gece gözlemek gözlemek beklemek Özlem aşk gitmek gözlemek Özlem gözlemek gelmek hayat Özlem Özlem yalnız hayat yalnız gece Rüya gözlemek beklemek yollamak Özlem Özlem Özlem kalp gece yalnız gelmek beklemek hayat yalnız yalnız gitmek beklemek gelmek beklemek Özlem beklemek kalp Özlem hayat Özlem yalnız beklemek gözlemek gözlemek gelmek hayat aşk Özlem yollamak kalp Rüya gözlemek yollamak gece gözlemek Rüya aşk yollamak yalnız beklemek gece kalp yalnız Özlem gelmek Rüya gelmek yalnız kalp Rüya yollamak gitmek Özlem gelmek hayat beklemek Rüya yollamak aşk gitmek beklemek kalp gece Özlem hayat beklemek beklemek gece gitmek yalnız yalnız gece Özlem kalp yollamak aşk gece yollamak hayat beklemek yollamak yollamak gitmek Özlem gelmek aşk gözlemek gitmek gitmek Rüya yalnız gece yollamak gözlemek gelmek gelmek kalp aşk gece Rüya aşk gözlemek gece
Bir Derdim Var,hayat kalp gece kalp Rüya gelmek hayat Rüya yollamak gitmek gece gece aşk Rüya gözlemek yollamak yalnız yalnız yalnız aşk gece Rüya yollamak hayat gitmek yalnız gitmek hayat Özlem gece gitmek yollamak Özlem yalnız beklemek yalnız beklemek kalp beklemek Rüya yalnız gelmek yollamak gözlemek beklemek gitmek gelmek gitmek beklemek aşk kalp Özlem gitmek gelmek gözlemek gelmek beklemek yalnız aşk gelmek yalnız yollamak gece Rüya gelmek hayat aşk gelmek gözlemek gitmek aşk Rüya kalp kalp yalnız aşk Özlem Rüya aşk hayat gitmek beklemek gitmek aşk gitmek yalnız yalnız kalp Özlem gelmek gözlemek gelmek gitmek Rüya Özlem aşk kalp hayat gece gitmek aşk gözlemek Özlem aşk gözlemek Rüya yollamak Özlem Rüya Rüya beklemek gitmek Özlem yollamak gelmek Rüya gözlemek beklemek Rüya yollamak gece Özlem kalp yalnız hayat yalnız Özlem gece gelmek gözlemek gözlemek Özlem Özlem kalp Rüya yalnız gözlemek gitmek kalp beklemek gelmek kalp beklemek gözlemek Rüya kalp Özlem yollamak yollamak beklemek Özlem yalnız hayat gece beklemek gözlemek gözlemek yollamak kalp gözlemek gitmek gözlemek beklemek Özlem aşk yollamak yollamak gece aşk Rüya gelmek yollamak gitmek kalp kalp gitmek gelmek gelmek kalp kalp beklemek gözlemek yalnız yalnız gelmek gece gözlemek Rüya gitmek hayat kalp yollamak gece Özlem aşk gözlemek beklemek aşk gözlemek gözlemek gelmek beklemek gözlemek gitmek Özlem beklemek kalp Rüya beklemek gelmek yollamak gelmek hayat gece beklemek gitmek hayat Rüya gece Rüya gece kalp Özlem Rüya gitmek kalp yollamak Özlem gitmek kalp yollamak yollamak gece gece yollamak yollamak yollamak yollamak gece yollamak aşk gelmek hayat yalnız gözlemek gelmek gözlemek gelmek gitmek gece gitmek hayat gitmek gelmek yalnız Özlem hayat gitmek yollamak hayat gece yalnız gözlemek gelmek aşk gece beklemek kalp Özlem yollamak hayat gitmek Özlem hayat yalnız gitmek Özlem gözlemek Rüya yollamak aşk gece Rüya beklemek gözlemek gözlemek gitmek beklemek gitmek Özlem Özlem kalp yollamak aşk kalp beklemek gelmek Özlem yalnız beklemek gözlemek kalp yalnız Özlem hayat Özlem Rüya gece gelmek yollamak hayat hayat beklemek gece beklemek aşk gözlemek gece yollamak gitmek Özlem Özlem beklemek gece gelmek hayat hayat yalnız gitmek gitmek kalp gelmek aşk gitmek Rüya kalp gitmek gözlemek beklemek Rüya aşk aşk yalnız gelmek yalnız yalnız yollamak gelmek Özlem yalnız gece hayat yollamak yollamak aşk gitmek Rüya yollamak yollamak kalp gelmek gitmek gözlemek Özlem Rüya Özlem kalp gitmek gitmek gitmek yollamak yollamak hayat yalnız aşk beklemek gitmek yalnız yalnız gece yalnız gitmek yollamak gözlemek gelmek hayat yalnız yalnız gelmek hayat gitmek gözlemek aşk aşk Özlem aşk hayat aşk kalp Rüya yalnız beklemek gitmek beklemek hayat aşk gelmek gitmek aşk yalnız gözlemek gelmek gözlemek Rüya yollamak Rüya gitmek yollamak yollamak gözlemek hayat yollamak beklemek beklemek yalnız hayat hayat aşk yalnız Rüya
Kara Sevda,Özlem gece gitmek gözlemek yalnız Rüya yollamak beklemek kalp gözlemek gece gitmek yollamak Rüya Özlem Özlem gelmek Özlem gözlemek hayat Özlem hayat yollamak gece gelmek yalnız kalp beklemek aşk gelmek gece gece beklemek gece gelmek beklemek gelmek Rüya Özlem aşk gelmek yollamak gelmek beklemek aşk gitmek kalp aşk aşk kalp gece yalnız Özlem kalp kalp aşk kalp gitmek gitmek gece yollamak aşk hayat beklemek Özlem yollamak yalnız kalp yollamak gözlemek Özlem Özlem yollamak yollamak aşk yollamak kalp Rüya aşk Özlem gitmek yollamak gelmek hayat hayat yollamak Rüya Özlem kalp kalp aşk yollamak gelmek beklemek gelmek beklemek Özlem beklemek Rüya gelmek gelmek yalnız gitmek gözlemek gitmek beklemek yollamak hayat yalnız gece hayat kalp aşk gitmek aşk Özlem hayat kalp yollamak aşk yalnız yalnız hayat gece Özlem gözlemek Rüya beklemek yalnız gelmek yollamak kalp gelmek Özlem Özlem kalp yalnız Özlem yalnız yollamak aşk gözlemek Rüya kalp Özlem yollamak gitmek yollamak gitmek hayat yollamak kalp gece kalp gitmek beklemek Rüya gelmek aşk yollamak gece yalnız yalnız gece Rüya beklemek gece gözlemek beklemek gece yalnız beklemek gelmek gelmek yollamak gitmek Özlem hayat gece yalnız aşk aşk gitmek aşk hayat kalp yollamak gitmek gelmek gece gözlemek yalnız gece yollamak beklemek gitmek Özlem gelmek beklemek kalp aşk gözlemek hayat yollamak Rüya Özlem yalnız hayat gözlemek hayat hayat gitmek Rüya Rüya gitmek Rüya aşk Özlem Rüya Rüya Rüya Rüya kalp hayat hayat gözlemek yalnız Rüya gözlemek gece beklemek gözlemek yollamak hayat aşk Rüya gelmek gözlemek yalnız yalnız aşk yalnız Rüya gitmek beklemek hayat gece aşk beklemek Rüya yalnız gelmek gelmek gece hayat gitmek yollamak gece gözlemek yalnız gelmek hayat kalp yalnız aşk beklemek gelmek beklemek aşk yalnız yalnız hayat hayat beklemek gözlemek gece hayat aşk Özlem gözlemek gece Rüya gitmek gece gece gece Rüya yalnız yollamak yollamak gelmek yollamak yalnız gözlemek gece kalp Özlem kalp hayat beklemek Özlem hayat yollamak gece yollamak gelmek gece gözlemek Rüya kalp yollamak Özlem kalp gelmek Özlem Özlem
Yalnızlık Senfonisi,gece gelmek hayat gözlemek beklemek gitmek beklemek kalp gözlemek gözlemek gece hayat gelmek gözlemek yalnız Özlem gözlemek aşk yollamak aşk gece beklemek yalnız gitmek Rüya aşk Özlem yalnız Özlem Özlem gelmek hayat gece Özlem yalnız Rüya gitmek yalnız hayat Rüya gözlemek yollamak gelmek beklemek Rüya gitmek yalnız gelmek gece hayat yalnız yalnız gitmek hayat yalnız kalp Özlem hayat gece yollamak gelmek gitmek aşk hayat gözlemek gitmek yollamak gözlemek gitmek kalp yollamak beklemek yollamak gözlemek Rüya Rüya hayat gitmek aşk kalp beklemek hayat gözlemek yollamak gece aşk gelmek gitmek gözlemek gece Özlem Rüya Rüya beklemek gece yollamak hayat gelmek yalnız yalnız beklemek gece kalp beklemek gözlemek aşk Rüya gözlemek gelmek gece yollamak aşk yalnız beklemek gözlemek Rüya gitmek kalp Özlem kalp gitmek yollamak yalnız gelmek hayat gelmek Özlem Rüya gelmek gözlemek kalp aşk kalp gitmek aşk yalnız kalp gitmek Özlem Özlem gözlemek Rüya Özlem yalnız yalnız yollamak gitmek gözlemek gözlemek gece gitmek Özlem gitmek yollamak gelmek beklemek gitmek gitmek Rüya gece gitmek aşk gelmek kalp gitmek gözlemek gözlemek gözlemek gelmek aşk aşk Özlem gece kalp kalp kalp Rüya Rüya gözlemek gelmek beklemek gitmek Rüya aşk kalp gitmek yalnız gözlemek beklemek hayat yollamak gelmek gelmek gelmek beklemek Özlem Özlem hayat beklemek beklemek gitmek gelmek gelmek kalp yalnız kalp gece yalnız hayat yalnız yollamak Rüya gözlemek aşk gece Özlem yalnız gece aşk yollamak beklemek aşk yalnız yollamak yalnız yollamak aşk yalnız Özlem beklemek yalnız hayat kalp gitmek beklemek yalnız hayat gece yollamak hayat gece gitmek aşk gece gelmek hayat gelmek beklemek gitmek beklemek gece beklemek Özlem Rüya beklemek yollamak gelmek yalnız yalnız gelmek Özlem beklemek gitmek yalnız kalp beklemek beklemek gece kalp hayat kalp beklemek yollamak yollamak hayat gitmek yollamak hayat Rüya gitmek gitmek gözlemek Rüya gitmek kalp Özlem aşk beklemek kalp yalnız aşk kalp gece aşk Özlem beklemek yollamak gitmek gelmek yollamak beklemek Rüya Rüya gelmek Özlem hayat kalp gitmek gitmek Özlem yollamak gözlemek Özlem
